time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha
2024-11-07 16:59:09.470649,26.48,100803.42,35.95,43.52,0.00,0.00,0.00,0.00,0.00,0.00,161,8,5,4,13
2024-11-07 16:59:09.910738,26.48,100803.97,36.00,43.47,0.00,0.00,0.00,0.00,0.00,0.00,105,8,5,4,13
2024-11-07 16:59:10.393578,26.47,100806.80,36.05,43.23,0.00,0.00,0.00,0.00,0.00,0.00,140,8,5,4,13
2024-11-07 16:59:10.874830,26.46,100806.45,36.09,43.26,0.00,0.00,0.00,0.00,0.00,0.00,163,8,5,4,13
2024-11-07 16:59:11.348354,26.46,100805.64,36.15,43.33,0.00,0.00,0.00,0.00,0.00,0.00,225,7,5,4,12
2024-11-07 16:59:11.830591,26.45,100802.86,36.11,43.56,0.00,0.00,0.00,0.00,0.00,0.00,241,9,5,4,18
2024-11-07 16:59:12.309407,26.44,100806.16,36.12,43.29,0.00,0.00,0.00,0.00,0.00,0.00,522,10,6,4,20
2024-11-07 16:59:12.796923,26.45,100806.80,36.12,43.23,0.00,0.00,0.00,0.00,0.00,0.00,478,10,5,4,19
2024-11-07 16:59:13.274862,26.45,100804.70,36.18,43.41,0.00,0.00,0.00,0.00,0.00,0.00,477,9,5,4,15
2024-11-07 16:59:13.749695,26.43,100802.57,36.16,43.59,0.00,0.00,0.00,0.00,0.00,0.00,1965,14,8,7,26
2024-11-07 16:59:14.233554,26.43,100803.57,36.12,43.50,0.00,0.00,0.00,0.00,0.00,0.00,3332,9,7,6,20
2024-11-07 16:59:14.717769,26.43,100803.41,36.16,43.52,0.00,0.00,0.00,0.00,0.00,0.00,2200,5,5,4,11
2024-11-07 16:59:15.192384,26.43,100804.05,36.28,43.46,0.00,0.00,0.00,0.00,0.00,0.00,1152,6,5,5,14
2024-11-07 16:59:15.675981,26.43,100808.52,36.51,43.09,0.00,0.00,0.00,0.00,0.00,0.00,971,3,3,3,9
2024-11-07 16:59:16.151378,26.44,100806.87,36.80,43.23,0.00,0.00,0.00,0.00,0.00,0.00,902,5,4,3,11
2024-11-07 16:59:16.636877,26.44,100806.64,37.10,43.25,0.00,0.00,0.00,0.00,0.00,0.00,924,5,4,4,11
2024-11-07 16:59:17.109001,26.46,100805.97,37.40,43.30,0.00,0.00,0.00,0.00,0.00,0.00,942,8,6,5,16
2024-11-07 16:59:17.594812,26.47,100807.94,37.59,43.14,0.00,0.00,0.00,0.00,0.00,0.00,848,13,9,8,26
2024-11-07 16:59:18.072910,26.48,100808.84,37.89,43.06,0.00,0.00,0.00,0.00,0.00,0.00,189,18,12,11,35
2024-11-07 16:59:18.549396,26.50,100810.33,38.16,42.94,0.00,0.00,0.00,0.00,0.00,0.00,1350,10,6,6,21
2024-11-07 16:59:19.032920,26.50,100806.23,38.52,43.28,0.00,0.00,0.00,0.00,0.00,0.00,341,5,4,4,12
2024-11-07 16:59:19.513264,26.51,100807.07,38.86,43.21,0.00,0.00,0.00,0.00,0.00,0.00,219,6,4,4,12
2024-11-07 16:59:19.996102,26.52,100806.36,39.09,43.27,0.00,0.00,0.00,0.00,0.00,0.00,857,6,4,4,13
2024-11-07 16:59:20.472124,26.52,100804.58,39.12,43.42,0.00,0.00,0.00,0.00,0.00,0.00,154,6,4,4,12
2024-11-07 16:59:20.955585,26.52,100801.77,38.93,43.65,0.00,0.00,0.00,0.00,0.00,0.00,234,8,6,6,18
2024-11-07 16:59:21.435355,26.50,100805.81,38.72,43.32,0.00,0.00,0.00,0.00,0.00,0.00,5251,8,6,5,18
2024-11-07 16:59:21.916999,26.49,100808.45,38.41,43.10,0.00,0.00,0.00,0.00,0.00,0.00,805,9,7,6,21
2024-11-07 16:59:22.392944,26.50,100809.84,38.20,42.98,0.00,0.00,0.00,0.00,0.00,0.00,499,26,16,14,63
2024-11-07 16:59:22.876746,26.49,100813.78,37.97,42.65,0.00,0.00,0.00,0.00,0.00,0.00,1602,46,30,24,91
2024-11-07 16:59:23.354619,26.50,100811.46,37.72,42.84,0.00,0.00,0.00,0.00,0.00,0.00,528,48,33,26,97
2024-11-07 16:59:23.836051,26.50,100811.78,37.58,42.82,0.00,0.00,0.00,0.00,0.00,0.00,295,51,34,28,102
2024-11-07 16:59:24.315038,26.50,100812.36,37.45,42.77,0.00,0.00,0.00,0.00,0.00,0.00,244,51,35,28,103
