timestamp,x,y,z
0,3.51,-4.8,6.65
10,3.5,-4.74,6.58
20,3.38,-4.61,6.48
30,3.28,-4.46,6.39
40,3.17,-4.33,6.4
50,3.19,-4.24,6.32
60,3.37,-4.41,6.39
70,3.51,-4.84,6.87
80,3.77,-5.72,7.77
90,3.96,-6.69,8.96
100,3.89,-7.52,9.78
110,3.51,-8.15,10.12
120,3.42,-8.69,9.99
130,3.51,-9.22,9.8
140,3.9,-9.74,9.74
150,4.69,-10.16,10.06
160,5.5,-10.78,11.32
170,6.97,-11.59,13.22
180,7.68,-12.35,15.08
190,7.68,-13.42,17.21
200,7.18,-13.98,18.97
210,6.92,-13.78,20.21
220,6.43,-13.3,20.94
230,6.28,-12.3,21.01
240,6.15,-10.74,20.55
250,6.34,-9.71,19.97
260,6.53,-9.2,19.64
270,6.96,-9.08,19.19
280,7.26,-8.91,19.44
290,7.23,-7.58,20.31
300,6.95,-5.63,20.43
310,6.68,-3.65,19.61
320,6.42,-2.43,17.36
330,5.74,-1.3,15.05
340,5.29,-0.11,13.34
350,5.06,0.91,11.99
360,4.97,1.3,11.36
370,4.96,1.16,11.26
380,5.11,0.34,11.8
390,4.93,-0.23,11.82
400,4.83,-0.17,11.28
410,4.65,0.02,10.6
420,4.17,0.3,9.74
430,3.92,0.49,8.54
440,3.73,0.34,7.46
450,3.75,-0.13,6.39
460,4.43,-0.57,6.01
470,4.12,-0.06,5.21
480,4.08,0.27,4.29
490,4.08,0.34,3.23
500,3.81,1.07,1.87
510,3.46,1.64,0.45
520,3.12,1.94,-0.88
530,2.71,2.08,-2.4
540,2.43,1.79,-3.98
550,2.23,1.6,-5.31
560,2.05,1.5,-6.2
570,2.0,0.87,-7.14
580,1.79,0.56,-7.36
590,1.42,0.61,-7.64
600,1.0,0.62,-7.94
610,0.03,0.9,-8.7
620,-0.74,1.33,-9.48
630,-1.55,1.39,-10.3
640,-2.05,1.24,-11.07
650,-2.31,1.31,-11.7
660,-2.34,0.5,-12.05
670,-2.11,-0.39,-11.91
680,-1.95,-1.4,-11.34
690,-2.08,-2.33,-10.8
700,-2.24,-3.12,-10.11
710,-2.14,-3.83,-9.36
720,-1.87,-4.49,-9.0
730,-1.46,-5.11,-8.69
740,-0.96,-5.51,-8.58
750,-0.52,-5.86,-8.53
760,-0.04,-6.13,-8.32
770,0.29,-6.43,-7.97
780,0.46,-6.67,-7.62
790,0.47,-6.9,-7.29
800,0.43,-6.97,-7.1
810,0.46,-6.95,-7.05
820,0.56,-6.9,-7.09
830,0.57,-6.69,-7.32
840,0.54,-6.57,-7.62
850,0.45,-6.33,-7.75
860,0.34,-5.96,-7.74
870,0.14,-5.58,-7.67
880,-0.07,-5.15,-7.54
890,-0.28,-4.73,-7.5
900,-0.52,-4.34,-7.46
910,-0.74,-3.97,-7.37
920,-0.89,-3.79,-7.33
930,-0.8,-3.74,-7.04
940,-0.66,-3.62,-6.67
950,-0.51,-3.42,-6.36
960,-0.41,-3.11,-6.02
970,-0.31,-2.9,-5.54
980,-0.31,-2.66,-5.04
990,-0.21,-2.66,-4.51
1000,-0.08,-3.05,-3.68
