timestamp,ax,ay,az,gx,gy,gz
0,3.41,4.0,7.94,-0.01,0.11,-0.26
10,3.45,4.0,7.92,-0.02,0.11,-0.25
20,3.48,4.01,7.85,-0.02,0.1,-0.23
30,3.51,3.96,7.83,-0.01,0.08,-0.2
40,3.52,3.92,7.77,0.01,0.06,-0.18
50,3.45,3.96,7.69,0.03,0.04,-0.16
60,3.32,3.98,7.67,0.05,0.02,-0.15
70,3.22,3.91,7.7,0.07,0.01,-0.15
80,3.16,3.82,7.69,0.06,0.0,-0.16
90,3.12,3.84,7.64,0.02,0.01,-0.16
100,3.09,3.86,7.6,-0.02,0.03,-0.16
110,3.12,3.81,7.57,-0.06,0.04,-0.15
120,3.15,3.73,7.6,-0.08,0.04,-0.14
130,3.1,3.75,7.63,-0.06,0.04,-0.13
140,3.06,3.79,7.59,-0.02,0.03,-0.13
150,3.04,3.82,7.51,0.04,0.02,-0.12
160,3.02,3.88,7.53,0.09,0.03,-0.11
170,2.97,3.92,7.62,0.14,0.06,-0.08
180,2.96,3.95,7.67,0.16,0.1,-0.04
190,2.95,3.86,7.82,0.16,0.14,0.01
200,2.96,3.73,8.0,0.1,0.19,0.06
210,3.05,3.67,8.23,0.01,0.25,0.1
220,3.13,3.6,8.55,-0.11,0.28,0.12
230,3.25,3.53,8.89,-0.2,0.29,0.09
240,3.32,3.49,9.19,-0.25,0.29,0.03
250,3.37,3.39,9.41,-0.24,0.26,-0.04
260,3.4,3.29,9.53,-0.19,0.21,-0.1
270,3.49,3.09,9.79,-0.13,0.16,-0.14
280,3.6,2.42,10.84,-0.1,0.1,-0.16
290,3.67,1.28,12.23,-0.21,0.08,-0.15
300,3.78,-0.04,14.14,-0.52,0.14,-0.12
310,3.75,-1.27,16.09,-1.09,0.3,-0.1
320,3.72,-1.71,17.36,-1.86,0.52,-0.12
330,3.87,-1.66,18.14,-2.69,0.75,-0.21
340,4.34,-1.35,18.39,-3.35,0.83,-0.36
350,5.08,-0.87,18.14,-3.69,0.67,-0.6
360,5.81,-0.54,17.66,-3.76,0.3,-0.96
370,6.37,-0.19,17.08,-3.62,-0.12,-1.35
380,6.72,-0.26,16.74,-3.37,-0.53,-1.67
390,6.86,-1.01,16.76,-3.14,-0.82,-1.81
400,6.8,-1.87,17.0,-3.01,-0.97,-1.68
410,6.73,-2.76,17.53,-3.07,-0.98,-1.29
420,6.6,-3.53,17.92,-3.32,-0.93,-0.71
430,6.63,-3.71,18.1,-3.69,-0.83,-0.04
440,6.61,-3.6,18.36,-4.08,-0.71,0.63
450,6.52,-3.27,18.49,-4.39,-0.6,1.27
460,6.43,-2.71,18.31,-4.6,-0.53,1.8
470,6.23,-2.07,17.98,-4.77,-0.51,2.17
480,5.91,-1.46,17.5,-4.89,-0.53,2.37
490,5.47,-1.02,17.12,-5.01,-0.6,2.4
500,4.98,-0.72,17.06,-5.14,-0.68,2.32
510,4.47,-0.51,17.34,-5.33,-0.66,2.18
520,4.0,-0.36,17.73,-5.59,-0.54,2.01
530,3.74,-0.09,17.5,-5.91,-0.34,1.87
540,3.71,0.18,16.87,-6.22,-0.2,1.77
550,3.8,0.53,15.97,-6.41,-0.19,1.71
560,3.79,1.05,14.66,-6.48,-0.34,1.68
570,3.71,1.49,13.21,-6.45,-0.59,1.68
580,3.37,2.04,11.81,-6.33,-0.82,1.69
590,2.92,2.29,11.03,-6.14,-0.92,1.74
600,2.3,2.45,10.58,-5.95,-0.81,1.8
610,1.78,2.62,10.3,-5.84,-0.53,1.86
620,1.45,2.69,10.19,-5.83,-0.24,1.87
630,1.35,2.69,9.89,-5.84,-0.1,1.78
640,1.61,2.51,9.31,-5.8,-0.21,1.59
650,2.02,2.27,8.46,-5.69,-0.43,1.37
660,2.12,2.06,7.36,-5.49,-0.72,1.12
670,1.96,2.09,5.97,-5.2,-0.93,0.96
680,1.89,2.08,4.42,-4.89,-0.95,0.95
690,1.92,1.89,2.96,-4.6,-0.85,1.07
700,1.82,1.56,1.46,-4.29,-0.73,1.29
710,1.67,1.64,0.36,-4.14,-0.75,1.39
720,1.53,1.7,-0.87,-3.98,-0.85,1.42
730,1.28,1.54,-1.83,-3.76,-1.02,1.35
740,0.84,1.16,-2.56,-3.44,-1.2,1.2
750,0.28,0.73,-3.11,-3.02,-1.44,1.03
760,-0.04,0.16,-3.68,-2.55,-1.56,0.9
770,-0.51,-0.35,-4.36,-2.08,-1.54,0.82
780,-0.93,-0.93,-4.91,-1.64,-1.4,0.77
790,-1.03,-1.84,-5.25,-1.26,-1.25,0.69
