timestamp,x,y,z
0,-0.72,-9.94,-2.62
10,-0.81,-9.87,-2.81
20,-0.94,-9.7,-3.19
30,-1.21,-9.5,-3.59
40,-1.39,-9.33,-3.96
50,-1.55,-9.11,-4.07
60,-1.71,-8.88,-4.19
70,-1.73,-8.65,-4.26
80,-1.79,-8.38,-4.27
90,-1.8,-8.13,-4.18
100,-1.86,-7.95,-4.24
110,-2.0,-7.61,-4.48
120,-2.24,-7.23,-4.89
130,-2.51,-6.89,-5.31
140,-2.73,-6.65,-5.6
150,-2.75,-6.46,-5.83
160,-2.69,-5.99,-6.26
170,-2.9,-5.57,-6.45
180,-2.6,-5.7,-6.57
190,-2.27,-5.1,-6.87
200,-2.44,-4.97,-7.2
210,-2.16,-4.84,-7.99
220,-2.03,-4.79,-8.09
230,-1.86,-4.64,-7.93
240,-2.01,-4.17,-6.59
250,-2.14,-3.26,-5.01
260,-2.31,-2.23,-4.05
270,-2.09,-0.94,-3.25
280,-1.68,0.48,-3.09
290,-1.12,1.62,-2.25
300,-0.41,2.85,-0.99
310,1.0,3.85,0.46
320,2.79,5.35,2.58
330,4.68,6.99,5.3
340,5.9,7.14,9.12
350,7.93,4.6,12.57
360,7.63,0.07,15.83
370,10.68,-1.42,16.13
380,11.29,-3.06,17.2
390,9.87,-2.31,19.09
400,11.56,-0.51,18.01
410,12.1,0.2,17.23
420,11.85,1.97,17.89
430,12.01,2.55,19.35
440,12.28,2.06,21.38
450,12.16,1.79,22.64
460,11.67,1.68,23.02
470,11.38,1.49,22.54
480,11.43,0.96,21.36
490,11.36,0.26,19.5
500,11.03,-0.23,17.39
510,10.37,-0.32,15.61
520,9.63,0.13,14.39
530,8.89,0.61,14.1
540,8.41,0.44,14.61
550,8.29,-0.11,15.11
560,8.11,-0.8,15.55
570,8.03,-1.77,15.66
580,8.03,-2.64,15.53
590,8.01,-3.32,15.13
600,7.85,-3.23,14.38
610,7.47,-2.84,13.85
620,6.94,-2.45,13.4
630,6.43,-2.43,12.79
640,5.92,-2.48,12.02
650,5.66,-2.55,11.9
660,5.42,-3.25,11.38
670,5.17,-3.45,10.52
680,4.69,-3.19,9.57
690,4.01,-2.56,7.74
700,3.03,-1.72,5.74
710,2.03,-1.02,3.8
720,1.12,-0.63,1.91
730,0.32,-0.74,0.64
740,-0.05,-1.18,-0.28
750,-0.39,-1.66,-1.24
760,-0.68,-1.52,-1.92
770,-0.85,-1.07,-2.71
780,-1.2,-0.63,-3.85
790,-1.56,-0.29,-5.21
800,-2.04,-0.21,-6.84
810,-2.62,0.29,-8.26
820,-2.38,0.11,-8.98
830,-1.97,0.1,-9.57
840,-2.8,-1.58,-8.08
850,-2.3,-1.55,-9.41
860,-2.33,-1.77,-9.71
870,-2.31,-1.97,-10.89
880,-2.58,-2.36,-11.12
890,-2.7,-2.81,-11.2
900,-2.77,-3.24,-10.94
910,-2.54,-4.17,-10.2
920,-2.05,-5.12,-8.95
930,-1.52,-6.15,-7.63
940,-1.3,-7.19,-6.66
950,-1.16,-7.93,-6.12
960,-1.53,-8.19,-6.05
970,-2.46,-8.26,-5.1
980,-1.52,-8.52,-6.28
990,-1.58,-8.71,-5.84
1000,-1.69,-9.25,-5.04
