timestamp,ax,ay,az,gx,gy,gz
0,0.1,-10.18,-0.64,-0.0,-0.49,0.09
10,0.64,-10.44,-0.59,0.01,-0.49,0.06
20,0.76,-10.3,-0.74,0.0,-0.39,0.03
30,0.48,-10.2,-0.98,-0.06,-0.23,-0.01
40,0.06,-10.01,-0.96,-0.14,-0.16,-0.03
50,-0.05,-10.13,-0.86,-0.2,-0.2,-0.01
60,0.07,-10.28,-0.83,-0.23,-0.18,0.01
70,0.21,-10.21,-0.56,-0.24,-0.12,0.0
80,0.28,-10.43,-0.44,-0.24,-0.11,-0.03
90,0.37,-10.61,-0.45,-0.23,-0.16,-0.09
100,0.56,-10.75,-0.38,-0.21,-0.22,-0.16
110,1.04,-10.92,-0.39,-0.15,-0.14,-0.19
120,0.91,-10.64,-0.53,-0.12,-0.05,-0.2
130,0.79,-10.32,-0.59,-0.11,-0.05,-0.22
140,0.83,-10.36,-0.65,-0.11,-0.07,-0.24
150,0.87,-10.31,-0.6,-0.12,-0.08,-0.27
160,0.88,-10.22,-0.49,-0.13,-0.08,-0.28
170,0.83,-10.27,-0.47,-0.13,-0.08,-0.28
180,0.73,-10.26,-0.5,-0.1,-0.11,-0.29
190,0.6,-10.18,-0.49,-0.08,-0.15,-0.29
200,0.44,-10.1,-0.53,-0.07,-0.18,-0.29
210,0.34,-9.95,-0.52,-0.05,-0.17,-0.3
220,0.26,-9.9,-0.51,-0.04,-0.19,-0.33
230,0.38,-9.81,-0.43,-0.03,-0.2,-0.37
240,0.64,-9.62,-0.43,-0.02,-0.19,-0.42
250,0.9,-9.45,-0.46,-0.04,-0.16,-0.47
260,1.11,-9.38,-0.54,-0.07,-0.12,-0.49
270,1.28,-9.37,-0.57,-0.1,-0.13,-0.47
280,1.48,-9.4,-0.56,-0.1,-0.17,-0.42
290,1.57,-9.45,-0.58,-0.09,-0.2,-0.36
300,1.56,-9.51,-0.69,-0.06,-0.23,-0.28
310,1.53,-9.55,-0.84,-0.03,-0.22,-0.22
320,1.4,-9.52,-1.01,0.0,-0.2,-0.19
330,1.33,-9.44,-1.03,0.03,-0.18,-0.2
340,1.39,-9.41,-0.96,0.05,-0.17,-0.24
350,1.47,-9.42,-0.85,0.07,-0.18,-0.27
360,1.59,-9.42,-0.75,0.1,-0.22,-0.27
370,1.77,-9.38,-0.68,0.12,-0.26,-0.23
380,1.92,-9.34,-0.65,0.12,-0.3,-0.16
390,1.98,-9.18,-0.71,0.11,-0.31,-0.09
