timestamp,ax,ay,az,gx,gy,gz
0,0.36,-10.58,-0.45,-0.24,-0.1,0.01
10,0.36,-10.83,-0.36,-0.33,-0.07,0.07
20,0.49,-11.04,-0.28,-0.43,-0.08,0.16
30,0.65,-11.12,-0.34,-0.53,-0.13,0.24
40,0.72,-11.3,-0.26,-0.61,-0.2,0.3
50,0.71,-11.42,-0.28,-0.7,-0.26,0.3
60,0.58,-11.56,-0.39,-0.77,-0.29,0.26
70,0.31,-11.81,-0.23,-0.87,-0.26,0.19
80,0.12,-12.09,-0.16,-0.99,-0.2,0.12
90,0.02,-12.34,-0.22,-1.13,-0.09,0.06
100,-0.11,-12.55,-0.23,-1.31,0.06,0.04
110,-0.14,-12.81,-0.07,-1.5,0.21,0.08
120,0.0,-13.13,0.19,-1.72,0.32,0.18
130,0.47,-13.28,0.18,-1.95,0.36,0.34
140,0.61,-13.77,0.67,-2.17,0.32,0.52
150,0.51,-14.42,1.03,-2.35,0.27,0.69
160,0.52,-14.91,1.06,-2.59,0.24,0.82
170,0.6,-15.05,0.95,-2.82,0.23,0.87
180,0.86,-14.73,0.76,-3.0,0.19,0.85
190,0.89,-14.11,0.54,-3.15,0.05,0.77
200,0.72,-13.23,0.24,-3.28,-0.1,0.7
210,0.31,-12.15,-0.16,-3.38,-0.2,0.73
220,-0.18,-10.95,-0.63,-3.54,-0.23,0.91
230,-0.22,-9.76,-1.04,-3.74,-0.26,1.15
240,-0.29,-8.68,-1.69,-3.93,-0.3,1.4
250,-0.25,-7.37,-2.32,-4.05,-0.38,1.61
260,-0.62,-6.44,-2.83,-4.02,-0.46,1.73
270,-0.93,-5.47,-3.66,-3.87,-0.51,1.73
280,-1.11,-4.64,-4.35,-3.59,-0.51,1.52
290,-1.3,-3.96,-4.84,-3.2,-0.49,1.17
300,-1.49,-3.43,-5.18,-2.74,-0.48,0.77
310,-1.6,-3.35,-5.44,-2.3,-0.48,0.42
320,-1.88,-3.46,-5.81,-1.94,-0.47,0.15
330,-2.08,-3.77,-6.08,-1.67,-0.45,-0.02
340,-2.18,-4.2,-6.31,-1.51,-0.43,-0.09
350,-2.37,-4.8,-6.51,-1.43,-0.42,-0.06
360,-2.43,-5.56,-6.66,-1.39,-0.43,0.03
370,-2.42,-6.17,-6.84,-1.37,-0.49,0.13
380,-2.26,-6.6,-7.07,-1.35,-0.56,0.18
390,-2.35,-6.84,-7.18,-1.33,-0.62,0.19
400,-2.55,-6.89,-7.33,-1.31,-0.65,0.18
410,-2.77,-6.8,-7.49,-1.26,-0.64,0.18
420,-2.91,-6.65,-7.66,-1.19,-0.59,0.18
430,-2.89,-6.72,-7.69,-1.09,-0.51,0.09
440,-2.83,-6.77,-7.72,-0.99,-0.44,-0.09
450,-2.97,-6.92,-7.7,-0.87,-0.38,-0.28
460,-2.97,-6.9,-7.66,-0.76,-0.31,-0.42
470,-2.9,-6.91,-7.57,-0.72,-0.26,-0.44
480,-2.67,-6.95,-7.49,-0.74,-0.27,-0.36
490,-2.57,-6.85,-7.42,-0.81,-0.32,-0.22
500,-2.48,-6.6,-7.7,-0.95,-0.36,-0.03
510,-2.62,-6.31,-7.83,-1.1,-0.34,0.16
520,-2.74,-6.26,-8.06,-1.18,-0.27,0.27
530,-2.58,-5.9,-8.27,-1.16,-0.19,0.23
540,-2.42,-5.57,-8.27,-1.01,-0.13,0.05
550,-2.38,-5.27,-8.19,-0.76,-0.07,-0.18
560,-2.42,-5.19,-8.1,-0.51,-0.02,-0.37
570,-2.36,-5.08,-8.05,-0.31,0.02,-0.46
580,-2.32,-5.3,-8.0,-0.2,0.04,-0.49
590,-2.2,-5.51,-7.98,-0.2,0.03,-0.48
600,-2.02,-5.44,-8.03,-0.26,-0.03,-0.43
610,-1.95,-5.49,-7.95,-0.34,-0.12,-0.31
620,-2.0,-5.6,-7.89,-0.4,-0.24,-0.14
630,-1.98,-5.59,-8.02,-0.44,-0.36,-0.0
640,-2.21,-5.54,-8.14,-0.46,-0.44,0.1
650,-2.3,-5.52,-8.26,-0.45,-0.45,0.17
660,-2.42,-5.36,-8.47,-0.45,-0.41,0.2
670,-2.4,-5.25,-8.51,-0.43,-0.35,0.16
680,-2.57,-5.21,-8.58,-0.39,-0.3,0.06
690,-2.55,-5.28,-8.58,-0.31,-0.28,-0.08
700,-2.66,-5.3,-8.66,-0.19,-0.27,-0.21
710,-2.83,-5.42,-8.66,-0.06,-0.28,-0.28
720,-3.01,-5.58,-8.67,0.03,-0.3,-0.31
730,-3.16,-5.79,-8.75,0.07,-0.3,-0.28
740,-3.26,-5.87,-8.83,0.04,-0.28,-0.2
750,-3.27,-5.94,-8.85,-0.04,-0.27,-0.1
760,-3.33,-6.0,-8.9,-0.14,-0.25,-0.02
770,-3.25,-5.93,-8.95,-0.24,-0.22,0.03
780,-3.21,-5.73,-8.95,-0.3,-0.17,0.08
790,-3.12,-5.53,-8.89,-0.31,-0.16,0.12
800,-3.02,-5.29,-8.92,-0.27,-0.17,0.15
810,-3.06,-5.17,-8.84,-0.21,-0.19,0.16
820,-3.38,-5.41,-8.71,-0.14,-0.17,0.15
830,-3.54,-5.64,-8.71,-0.08,-0.13,0.1
840,-3.57,-5.83,-8.74,-0.06,-0.08,0.04
850,-3.51,-5.88,-8.65,-0.05,-0.02,0.02
860,-3.31,-5.94,-8.62,-0.05,-0.01,0.02
870,-3.12,-5.88,-8.59,-0.06,-0.03,0.06
880,-3.04,-5.93,-8.52,-0.07,-0.07,0.1
890,-3.1,-6.03,-8.48,-0.07,-0.1,0.14
900,-3.3,-6.1,-8.45,-0.07,-0.1,0.17
910,-3.37,-6.24,-8.5,-0.07,-0.06,0.17
920,-3.33,-6.27,-8.53,-0.06,-0.02,0.13
930,-3.2,-6.22,-8.46,-0.03,0.0,0.08
940,-3.07,-6.22,-8.42,0.0,-0.01,0.04
950,-2.93,-6.22,-8.38,0.04,-0.03,0.01
960,-2.92,-6.13,-8.32,0.07,-0.05,0.01
970,-2.97,-6.13,-8.25,0.07,-0.08,0.03
980,-3.01,-6.21,-8.3,0.04,-0.09,0.06
990,-3.2,-6.13,-8.29,-0.04,-0.06,0.11
