timestamp,x,y,z
0,0.43,-9.45,-0.97
10,0.43,-9.41,-1.06
20,0.48,-9.34,-1.11
30,0.49,-9.33,-1.15
40,0.51,-9.49,-1.18
50,0.49,-9.73,-1.15
60,0.41,-9.96,-1.01
70,0.38,-10.16,-1.0
80,0.38,-10.24,-1.01
90,0.4,-10.25,-1.03
100,0.35,-10.35,-0.97
110,0.34,-10.48,-0.94
120,0.34,-10.66,-0.97
130,0.28,-10.85,-0.96
140,0.21,-10.98,-0.99
150,0.21,-11.01,-1.12
160,0.15,-11.05,-1.11
170,0.17,-11.13,-1.07
180,0.21,-11.2,-0.92
190,0.33,-11.38,-0.74
200,0.47,-11.58,-0.58
210,0.56,-11.78,-0.49
220,0.61,-11.94,-0.48
230,0.6,-12.02,-0.61
240,0.47,-12.04,-0.72
250,0.33,-12.02,-0.72
260,0.24,-11.95,-0.8
270,0.3,-11.94,-0.88
280,0.36,-11.88,-0.91
290,0.47,-11.84,-0.92
300,0.57,-11.88,-0.93
310,0.63,-11.96,-0.9
320,0.67,-12.03,-0.99
330,0.63,-12.07,-1.03
340,0.59,-12.06,-1.08
350,0.61,-12.09,-1.11
360,0.64,-12.12,-1.09
370,0.69,-12.14,-1.04
380,0.8,-12.12,-1.01
390,0.91,-12.1,-0.96
400,1.03,-12.08,-0.94
410,1.09,-11.99,-0.94
420,1.09,-11.92,-1.03
430,1.02,-11.86,-1.09
440,0.99,-11.76,-1.21
450,0.91,-11.69,-1.21
460,0.85,-11.61,-1.2
470,0.84,-11.56,-1.25
480,0.84,-11.52,-1.17
490,0.9,-11.41,-1.16
500,0.91,-11.3,-1.14
510,0.85,-11.15,-1.18
520,0.77,-10.89,-1.33
530,0.78,-10.5,-1.51
540,0.76,-10.13,-1.81
550,0.62,-9.83,-2.12
560,0.5,-9.54,-2.55
570,0.37,-9.21,-2.88
580,0.25,-8.87,-2.97
590,0.34,-8.47,-3.04
600,0.58,-8.13,-3.02
610,0.55,-7.95,-2.93
620,0.51,-7.87,-2.91
630,0.36,-7.72,-3.13
640,0.08,-7.64,-3.53
650,-0.26,-7.28,-4.0
660,-0.48,-6.89,-4.54
670,-0.52,-6.48,-4.8
680,-0.63,-5.93,-5.07
690,-0.77,-5.68,-4.85
700,-0.96,-5.52,-4.65
710,-1.09,-5.34,-4.56
720,-1.07,-4.98,-4.73
730,-0.91,-4.6,-5.03
740,-0.81,-4.13,-5.22
750,-0.68,-3.75,-5.41
760,-0.74,-3.4,-5.81
770,-0.9,-3.17,-6.11
780,-1.14,-2.96,-6.19
790,-1.4,-2.77,-6.15
800,-1.66,-2.76,-6.1
810,-1.7,-2.66,-6.09
820,-1.64,-2.66,-6.01
830,-1.44,-2.59,-6.05
840,-1.2,-2.52,-6.2
850,-1.02,-2.42,-6.39
860,-0.88,-2.21,-6.56
870,-0.91,-2.11,-6.61
880,-1.23,-2.04,-6.44
890,-1.5,-2.02,-6.16
900,-1.82,-2.06,-6.03
910,-2.06,-2.1,-6.07
920,-2.25,-2.07,-6.12
930,-2.51,-2.09,-6.33
940,-2.75,-2.25,-6.47
950,-3.07,-2.48,-6.56
960,-3.53,-2.66,-6.55
970,-3.95,-2.94,-6.56
980,-4.37,-2.91,-6.63
990,-4.6,-2.79,-6.88
1000,-4.65,-2.32,-7.27
