timestamp,ax,ay,az,gx,gy,gz
0,-0.6,-10.05,-0.47,-0.08,-0.03,0.05
10,-0.63,-10.18,-0.47,-0.11,-0.03,0.06
20,-0.63,-10.24,-0.45,-0.13,-0.05,0.04
30,-0.64,-10.29,-0.46,-0.13,-0.08,0.02
40,-0.68,-10.37,-0.51,-0.14,-0.1,0.02
50,-0.64,-10.43,-0.64,-0.17,-0.08,0.01
60,-0.63,-10.48,-0.66,-0.18,-0.07,0.0
70,-0.62,-10.5,-0.74,-0.19,-0.07,-0.01
80,-0.61,-10.47,-0.78,-0.2,-0.07,-0.01
90,-0.63,-10.5,-0.78,-0.2,-0.07,0.02
100,-0.63,-10.52,-0.76,-0.21,-0.07,0.04
110,-0.64,-10.57,-0.7,-0.24,-0.07,0.06
120,-0.74,-10.7,-0.58,-0.3,-0.07,0.06
130,-0.69,-10.88,-0.61,-0.37,-0.07,0.07
140,-0.64,-10.96,-0.63,-0.42,-0.08,0.07
150,-0.64,-10.96,-0.71,-0.43,-0.11,0.06
160,-0.5,-10.85,-0.8,-0.46,-0.12,0.03
170,-0.8,-10.88,-0.69,-0.46,-0.15,0.01
180,-0.74,-10.73,-0.86,-0.44,-0.16,0.01
190,-0.77,-10.65,-0.84,-0.46,-0.15,0.02
200,-0.7,-10.67,-0.95,-0.51,-0.14,0.04
210,-0.72,-10.71,-0.92,-0.57,-0.11,0.05
220,-0.78,-10.85,-0.9,-0.61,-0.11,0.07
230,-0.73,-10.95,-0.91,-0.64,-0.1,0.07
240,-0.71,-11.19,-0.83,-0.69,-0.09,0.07
250,-0.74,-11.34,-0.81,-0.73,-0.1,0.07
260,-0.69,-11.48,-0.86,-0.78,-0.11,0.07
270,-0.71,-11.52,-0.88,-0.82,-0.12,0.08
280,-0.57,-11.49,-1.01,-0.87,-0.12,0.08
290,-0.72,-11.5,-1.01,-0.91,-0.12,0.08
300,-0.7,-11.46,-1.13,-0.94,-0.13,0.07
310,-0.68,-11.37,-1.34,-0.98,-0.12,0.06
320,-0.75,-11.3,-1.42,-1.02,-0.1,0.05
330,-0.77,-11.29,-1.43,-1.07,-0.09,0.05
340,-0.74,-11.37,-1.49,-1.11,-0.1,0.06
350,-0.63,-11.41,-1.65,-1.19,-0.1,0.06
360,-0.8,-11.49,-1.58,-1.26,-0.1,0.06
370,-0.78,-11.58,-1.73,-1.33,-0.1,0.07
380,-0.85,-11.56,-1.9,-1.38,-0.12,0.08
390,-0.86,-11.43,-2.1,-1.42,-0.15,0.08
400,-0.91,-11.43,-2.41,-1.44,-0.16,0.06
410,-1.08,-11.23,-2.64,-1.46,-0.15,0.05
420,-1.03,-11.09,-2.91,-1.49,-0.13,0.04
430,-1.04,-11.05,-2.99,-1.53,-0.08,0.03
440,-1.17,-11.08,-2.88,-1.54,-0.1,-0.01
450,-0.98,-10.99,-3.06,-1.53,-0.13,-0.08
460,-1.16,-10.98,-2.99,-1.51,-0.15,-0.19
470,-1.19,-10.98,-3.1,-1.46,-0.18,-0.3
480,-1.11,-10.84,-3.16,-1.42,-0.17,-0.42
490,-1.02,-10.71,-3.2,-1.41,-0.17,-0.52
