timestamp,x,y,z
0,-0.09,-10.09,-0.7
10,-0.09,-10.29,-0.58
20,-0.12,-10.38,-0.62
30,-0.17,-10.5,-0.53
40,-0.3,-10.59,-0.6
50,-0.45,-10.66,-0.82
60,-0.63,-10.74,-0.95
70,-0.78,-10.6,-1.05
80,-0.81,-10.44,-1.2
90,-0.6,-10.52,-1.13
100,-0.38,-10.6,-0.71
110,0.58,-11.1,-0.9
120,1.21,-10.77,-1.21
130,1.62,-10.04,-2.04
140,1.65,-8.61,-2.92
150,1.53,-6.74,-3.66
160,1.61,-5.04,-4.31
170,2.18,-3.57,-5.13
180,2.73,-2.43,-5.34
190,2.79,-2.64,-4.07
200,1.82,-3.36,-2.18
210,-0.51,-4.8,0.38
220,-1.47,-4.71,-0.42
230,-4.89,-3.62,1.4
240,-8.52,-0.27,2.45
250,-10.41,1.12,1.24
260,-12.1,1.75,1.72
270,-12.94,1.96,1.72
280,-13.68,2.0,1.45
290,-14.29,1.71,1.58
300,-14.78,1.39,1.64
310,-15.09,1.0,1.61
320,-15.08,0.54,1.58
330,-14.77,0.29,1.41
340,-14.38,-0.3,1.18
350,-13.83,-0.71,0.89
360,-13.12,-0.73,0.47
370,-12.4,-0.82,0.26
380,-11.88,-0.86,0.11
390,-11.58,-0.61,-0.01
400,-11.32,-0.44,-0.24
410,-10.98,-0.19,-0.44
420,-10.59,-0.13,-0.5
430,-10.25,-0.34,-0.38
440,-10.05,-0.57,-0.28
450,-9.76,-0.63,-0.25
460,-9.46,-0.45,-0.35
470,-9.28,-0.09,-0.51
480,-9.27,0.19,-0.62
490,-9.31,0.18,-0.63
500,-9.35,0.02,-0.68
510,-9.29,-0.17,-0.76
520,-9.17,-0.35,-0.83
530,-9.11,-0.41,-0.77
540,-9.1,-0.47,-0.66
550,-9.18,-0.39,-0.5
560,-9.43,-0.34,-0.33
570,-9.74,-0.22,-0.23
580,-9.91,-0.21,-0.05
590,-9.91,-0.26,-0.02
600,-9.82,-0.26,-0.06
610,-9.6,-0.28,-0.17
620,-9.29,-0.25,-0.31
630,-9.05,-0.21,-0.4
640,-8.92,-0.15,-0.46
650,-8.99,-0.1,-0.41
660,-9.18,-0.08,-0.27
670,-9.45,0.05,-0.17
680,-9.67,0.09,-0.05
690,-9.73,0.06,-0.1
700,-9.59,-0.01,-0.18
710,-9.37,-0.14,-0.28
720,-9.14,-0.27,-0.34
730,-9.03,-0.51,-0.3
740,-9.02,-0.77,-0.26
750,-9.1,-0.99,-0.11
760,-9.2,-1.05,-0.07
770,-9.24,-1.01,-0.05
780,-9.27,-0.86,-0.16
790,-9.17,-0.79,-0.28
800,-9.0,-0.85,-0.41
810,-8.93,-0.94,-0.52
820,-8.97,-1.0,-0.57
830,-9.11,-1.1,-0.55
840,-9.33,-1.12,-0.47
850,-9.55,-1.14,-0.32
860,-9.67,-1.19,-0.2
870,-9.67,-1.19,-0.16
880,-9.57,-1.21,-0.13
890,-9.46,-1.22,-0.17
900,-9.37,-1.25,-0.27
910,-9.32,-1.24,-0.35
920,-9.37,-1.18,-0.31
930,-9.5,-1.2,-0.26
940,-9.67,-1.2,-0.16
950,-9.77,-1.21,-0.08
960,-9.74,-1.2,-0.08
970,-9.57,-1.12,-0.21
980,-9.39,-1.09,-0.27
990,-9.22,-1.1,-0.35
1000,-9.1,-1.18,-0.38
