timestamp,ax,ay,az,gx,gy,gz
0,1.65,-10.49,1.58,-0.08,0.19,-0.1
10,1.63,-10.64,1.68,-0.07,0.16,-0.16
20,1.6,-10.78,1.72,-0.06,0.11,-0.22
30,1.52,-10.89,1.63,-0.04,0.06,-0.27
40,1.44,-10.96,1.42,-0.06,0.06,-0.29
50,1.42,-10.96,1.23,-0.11,0.1,-0.3
60,1.5,-10.97,1.02,-0.19,0.18,-0.28
70,1.6,-11.01,1.02,-0.27,0.24,-0.25
80,1.59,-11.03,1.05,-0.31,0.27,-0.22
90,1.55,-11.16,1.12,-0.33,0.26,-0.2
100,1.62,-11.33,1.16,-0.36,0.22,-0.21
110,1.66,-11.44,1.11,-0.39,0.16,-0.23
120,1.62,-11.54,1.08,-0.44,0.11,-0.25
130,1.64,-11.55,0.86,-0.52,0.07,-0.23
140,1.58,-11.55,0.66,-0.58,0.06,-0.17
150,1.56,-11.75,0.53,-0.61,0.07,-0.08
160,1.57,-11.93,0.46,-0.62,0.07,0.04
170,1.55,-12.19,0.46,-0.62,0.05,0.14
180,1.53,-12.47,0.41,-0.62,0.05,0.24
190,1.5,-12.67,0.3,-0.64,0.08,0.33
200,1.4,-12.83,0.26,-0.69,0.14,0.38
210,1.31,-13.07,0.38,-0.79,0.19,0.39
220,1.42,-13.26,0.47,-0.9,0.17,0.33
230,1.62,-13.34,0.35,-0.97,0.11,0.2
240,1.75,-13.29,0.28,-0.98,0.05,0.08
250,1.83,-13.03,0.23,-0.92,0.01,0.03
260,2.11,-12.7,0.07,-0.79,0.0,0.08
270,2.31,-12.29,0.03,-0.65,0.03,0.2
280,2.4,-11.91,0.1,-0.58,0.05,0.38
290,2.46,-11.64,0.29,-0.57,0.03,0.58
300,2.35,-11.4,0.51,-0.63,-0.03,0.75
310,2.19,-11.18,0.62,-0.77,-0.09,0.9
320,2.09,-10.94,0.54,-0.95,-0.14,1.02
330,2.08,-10.64,0.28,-1.06,-0.16,1.13
340,2.01,-10.28,0.12,-1.09,-0.16,1.25
350,1.98,-10.02,0.12,-1.07,-0.14,1.39
360,2.02,-9.78,0.09,-1.01,-0.12,1.5
370,2.08,-9.6,0.06,-0.89,-0.13,1.58
380,2.0,-9.4,0.02,-0.75,-0.14,1.66
390,2.01,-9.06,0.03,-0.62,-0.16,1.77
400,2.0,-8.74,0.07,-0.49,-0.24,1.91
410,2.01,-8.37,0.05,-0.39,-0.39,2.07
420,2.04,-8.1,0.11,-0.31,-0.57,2.27
430,2.02,-7.96,0.12,-0.22,-0.76,2.5
440,2.09,-8.09,-0.29,-0.22,-0.84,2.72
450,1.92,-8.27,-0.58,-0.3,-0.8,2.88
460,1.51,-8.64,-0.89,-0.41,-0.65,2.98
