timestamp,x,y,z
0,-1.14,-5.07,7.2
10,-1.23,-5.03,7.24
20,-1.24,-5.02,7.18
30,-1.23,-4.97,7.07
40,-1.33,-4.94,7.05
50,-1.44,-5.04,7.11
60,-1.55,-5.31,7.41
70,-1.73,-5.84,7.83
80,-2.18,-6.69,8.46
90,-2.52,-7.52,9.31
100,-2.83,-8.4,10.18
110,-3.27,-9.35,10.8
120,-3.54,-10.24,10.61
130,-3.48,-10.52,10.15
140,-3.4,-10.4,9.67
150,-3.55,-10.28,9.26
160,-3.66,-10.74,9.24
170,-3.89,-11.49,9.62
180,-4.23,-12.28,10.21
190,-4.52,-13.06,11.24
200,-4.33,-13.69,12.54
210,-4.19,-13.87,13.69
220,-3.66,-14.08,14.06
230,-3.26,-13.53,13.94
240,-2.56,-12.24,13.75
250,-1.2,-11.25,13.72
260,0.23,-10.84,14.04
270,1.38,-10.92,14.96
280,2.7,-11.24,16.12
290,3.59,-11.13,16.95
300,3.96,-10.51,17.3
310,4.26,-9.62,16.97
320,4.45,-8.99,16.79
330,4.74,-8.1,16.44
340,4.87,-6.68,16.18
350,6.42,-5.76,15.13
360,8.74,-5.85,13.61
370,9.45,-5.89,12.55
380,8.36,-4.93,12.53
390,7.92,-4.7,12.46
400,7.8,-4.48,12.16
410,7.75,-4.12,11.7
420,7.58,-3.96,11.31
430,7.32,-3.82,11.07
440,7.14,-3.56,11.21
450,6.9,-2.96,11.13
460,6.62,-2.05,10.37
470,6.3,-1.0,9.05
480,5.78,-0.05,7.55
490,5.37,0.64,6.06
500,5.3,1.09,4.75
510,5.28,1.12,3.79
520,5.62,1.1,3.38
530,6.2,1.2,3.53
540,5.94,0.96,3.6
550,5.93,0.79,3.28
560,5.88,1.33,2.62
570,5.33,1.89,1.64
580,4.52,2.21,0.24
590,3.04,2.64,-1.49
600,1.19,3.21,-2.55
610,-0.52,2.37,-2.63
620,-2.85,1.32,-1.31
630,-4.87,-0.78,-0.57
640,-5.14,-0.55,0.94
650,-6.51,-2.01,1.37
660,-7.29,-3.66,0.98
670,-6.64,-3.79,-0.35
680,-6.51,-3.24,-2.73
690,-7.16,-2.58,-4.24
700,-7.73,-2.69,-4.3
710,-8.92,-3.17,-4.15
720,-8.97,-4.05,-4.03
730,-8.69,-4.96,-3.43
740,-7.82,-6.06,-3.36
750,-6.62,-6.58,-3.15
760,-4.86,-7.15,-2.8
770,-3.19,-7.46,-2.5
780,-2.15,-7.33,-2.02
790,-1.26,-7.91,-1.61
800,-1.02,-7.81,-1.72
810,-1.0,-8.02,-2.23
820,-0.84,-8.69,-2.64
830,-0.85,-9.02,-2.55
840,-0.66,-9.09,-2.78
850,-0.26,-9.25,-2.67
860,0.07,-9.6,-2.3
870,0.53,-9.61,-2.05
880,0.78,-9.73,-1.91
890,0.67,-9.97,-1.69
900,0.4,-9.96,-1.64
910,0.08,-10.0,-1.9
920,-0.45,-9.77,-2.31
930,-0.76,-9.8,-2.54
940,-0.92,-9.92,-2.6
950,-0.98,-10.05,-2.21
960,-0.97,-10.22,-1.66
970,-1.11,-10.34,-1.25
980,-1.36,-10.42,-0.88
990,-1.47,-10.49,-0.68
1000,-1.38,-10.54,-0.75
