timestamp,x,y,z
0,0.21,-9.85,-2.32
10,0.29,-9.73,-2.43
20,0.3,-9.59,-2.53
30,0.34,-9.52,-2.59
40,0.28,-9.41,-2.64
50,0.24,-9.34,-2.69
60,0.17,-9.24,-2.71
70,0.06,-9.08,-2.88
80,-0.04,-8.94,-3.1
90,-0.2,-8.78,-3.48
100,-0.57,-8.56,-4.16
110,-1.09,-8.12,-5.33
120,-1.17,-7.61,-6.48
130,-1.99,-7.07,-7.79
140,-2.22,-5.59,-8.34
150,-1.73,-5.29,-9.16
160,-1.9,-3.82,-10.18
170,-2.07,-3.04,-10.71
180,-1.39,-1.87,-10.55
190,-1.03,-0.71,-9.45
200,-0.41,-0.1,-7.93
210,0.17,0.51,-5.48
220,0.74,0.71,-3.35
230,1.69,0.82,-1.12
240,2.11,0.65,1.32
250,3.1,1.07,3.51
260,2.72,2.39,5.87
270,3.36,1.29,12.25
280,5.63,-0.85,14.03
290,2.3,-0.98,19.29
300,2.82,-3.5,20.04
310,2.69,-3.03,20.81
320,2.79,-2.69,21.1
330,3.5,-2.02,21.46
340,4.12,-1.55,21.53
350,4.71,-0.95,20.68
360,5.0,-0.81,19.37
370,5.11,-0.78,18.32
380,5.24,-1.02,17.64
390,5.27,-1.53,17.48
400,4.85,-2.11,17.29
410,4.26,-2.28,16.29
420,3.83,-2.07,14.74
430,3.82,-2.1,13.95
440,4.07,-2.26,13.8
450,4.16,-2.2,13.55
460,4.05,-2.17,13.19
470,3.83,-2.31,13.05
480,3.58,-2.59,13.22
490,3.19,-3.0,13.23
500,2.9,-3.31,13.22
510,2.56,-3.51,13.43
520,2.19,-3.67,13.9
530,1.78,-3.9,14.17
540,1.09,-3.73,14.0
550,0.38,-3.8,14.38
560,0.15,-4.6,14.63
570,0.31,-4.92,13.71
580,0.69,-4.43,12.2
590,0.94,-3.62,10.42
600,1.54,-3.31,8.08
610,2.06,-3.4,6.09
620,2.03,-3.6,4.71
630,1.86,-3.81,3.37
640,1.64,-4.17,2.16
650,1.37,-4.32,0.93
660,1.4,-4.41,-0.62
670,0.77,-4.51,-1.97
680,0.29,-4.84,-3.01
690,0.01,-4.9,-4.64
700,1.36,-5.48,-5.73
710,0.25,-4.49,-7.17
720,-0.17,-4.73,-7.2
730,-0.14,-5.42,-8.01
740,-0.44,-5.18,-7.76
750,-0.6,-5.62,-7.88
760,-0.61,-5.71,-7.52
770,-0.69,-6.02,-7.16
780,-1.02,-6.39,-6.79
790,-1.09,-6.8,-6.47
800,-1.15,-7.19,-6.07
810,-0.99,-7.47,-5.86
820,-0.81,-7.72,-5.85
830,-0.54,-7.78,-5.88
840,-0.14,-7.81,-5.95
850,-0.1,-7.86,-5.96
860,-0.31,-8.06,-5.77
870,-0.44,-8.26,-5.5
880,-0.54,-8.49,-5.09
890,-0.78,-8.83,-4.31
900,-0.97,-9.11,-3.95
910,-0.8,-9.28,-3.87
920,-0.58,-9.29,-4.09
930,-0.32,-9.17,-4.39
940,-0.09,-9.12,-4.72
950,-0.04,-9.09,-4.91
960,-0.01,-9.06,-4.91
970,0.01,-8.96,-4.69
980,-0.11,-9.04,-4.26
990,-0.31,-9.11,-3.75
1000,-0.55,-9.21,-3.3
