timestamp,x,y,z
0,0.0,-12.26,-2.16
10,-0.18,-12.42,-2.16
20,-0.44,-12.6,-2.06
30,-0.6,-12.69,-1.91
40,-0.71,-12.68,-1.73
50,-0.75,-12.58,-1.62
60,-0.71,-12.52,-1.68
70,-0.76,-12.39,-1.73
80,-0.8,-12.24,-1.71
90,-0.87,-12.05,-1.77
100,-0.95,-11.81,-1.75
110,-0.92,-11.54,-1.59
120,-0.9,-11.32,-1.46
130,-0.76,-11.03,-1.47
140,-0.6,-10.72,-1.55
150,-0.44,-10.48,-1.7
160,-0.31,-10.2,-1.78
170,-0.21,-10.01,-1.85
180,-0.07,-9.86,-1.83
190,0.06,-9.73,-1.73
200,0.22,-9.64,-1.65
210,0.39,-9.47,-1.74
220,0.55,-9.14,-1.86
230,0.79,-8.86,-1.99
240,0.95,-8.66,-2.14
250,1.11,-8.44,-2.26
260,1.32,-8.24,-2.28
270,1.66,-8.29,-2.3
280,2.04,-8.35,-2.34
290,2.48,-8.29,-2.54
300,2.86,-8.28,-2.81
310,3.16,-8.23,-3.01
320,3.4,-8.11,-3.19
330,3.59,-8.0,-3.34
340,3.72,-8.04,-3.4
350,3.82,-8.07,-3.34
360,3.9,-7.96,-3.31
370,3.95,-7.83,-3.4
380,4.08,-7.64,-3.56
390,4.32,-7.56,-3.67
400,4.62,-7.6,-3.64
410,4.79,-7.5,-3.74
420,4.82,-7.51,-3.52
430,4.71,-7.37,-3.4
440,4.49,-7.12,-3.34
450,4.43,-6.72,-3.52
460,4.53,-6.19,-3.87
470,4.71,-5.67,-4.22
480,4.97,-5.23,-4.41
490,5.31,-4.97,-4.41
500,5.71,-4.87,-4.28
510,5.94,-4.84,-4.1
520,5.98,-4.67,-3.95
530,5.72,-4.35,-4.02
540,5.42,-3.92,-4.35
550,5.19,-3.5,-4.53
560,5.15,-3.2,-4.62
570,5.3,-2.77,-4.93
580,5.59,-2.33,-5.17
590,5.97,-2.01,-5.32
600,6.39,-1.56,-5.5
610,6.64,-1.14,-5.74
620,6.71,-1.02,-5.74
630,6.65,-1.29,-5.56
640,6.29,-1.54,-5.4
650,6.0,-1.52,-5.39
660,5.92,-1.35,-5.3
670,5.98,-0.68,-5.6
680,6.04,0.26,-6.18
690,6.12,1.0,-6.53
700,6.23,1.56,-6.35
710,6.33,1.37,-5.8
720,6.3,1.08,-5.03
730,6.22,0.74,-4.56
740,5.87,0.71,-4.51
750,5.42,1.14,-4.93
760,4.91,1.87,-5.53
770,4.59,2.36,-5.53
780,4.45,2.55,-5.42
790,4.57,2.14,-5.13
800,5.07,1.39,-4.42
810,5.64,0.8,-3.84
820,6.15,0.21,-3.77
830,6.69,0.03,-3.8
840,6.86,0.68,-4.03
850,7.05,1.58,-4.72
860,7.14,2.57,-5.51
870,7.44,3.21,-6.61
880,8.14,2.78,-7.24
890,9.23,1.5,-7.31
900,10.96,-0.08,-7.12
910,12.48,-1.17,-7.15
920,13.7,-1.43,-7.79
930,14.72,-1.13,-8.66
940,15.63,-0.84,-9.66
950,16.75,-1.01,-10.18
960,17.56,-1.29,-10.77
970,18.1,-1.37,-11.18
980,18.23,-1.27,-11.7
990,18.14,-1.21,-11.62
1000,18.01,-1.14,-11.26
