timestamp,x,y,z
0,-0.48,-10.0,-0.91
10,-0.41,-10.03,-0.92
20,-0.32,-10.06,-0.84
30,-0.2,-10.16,-0.82
40,-0.2,-10.21,-0.75
50,-0.21,-10.25,-0.76
60,-0.3,-10.29,-0.78
70,-0.41,-10.32,-0.8
80,-0.51,-10.26,-0.94
90,-0.64,-10.2,-1.07
100,-0.72,-10.17,-1.12
110,-0.72,-10.19,-1.11
120,-0.81,-10.1,-1.19
130,-0.91,-10.11,-1.2
140,-1.02,-10.14,-1.07
150,-1.08,-10.24,-0.94
160,-1.08,-10.35,-0.84
170,-0.91,-10.38,-0.82
180,-0.81,-10.06,-1.08
190,-1.03,-9.29,-1.67
200,-1.27,-8.7,-2.17
210,-1.44,-8.47,-2.19
220,-1.23,-8.67,-2.0
230,-0.59,-9.11,-1.79
240,-0.0,-9.33,-1.7
250,0.57,-8.89,-2.02
260,1.1,-7.96,-2.47
270,1.38,-7.07,-2.93
280,1.76,-5.95,-3.34
290,2.5,-5.4,-2.94
300,3.48,-5.45,-2.35
310,3.88,-5.47,-1.98
320,4.78,-5.09,-1.75
330,5.73,-4.96,-1.59
340,6.54,-4.92,-1.25
350,7.04,-4.13,-0.71
360,7.52,-3.82,-0.78
370,8.08,-3.51,-0.63
380,8.26,-2.78,-1.34
390,8.73,-0.78,-1.28
400,8.88,-0.72,-1.36
410,10.36,-0.05,-0.99
420,12.34,-0.32,-0.42
430,14.28,-0.61,0.13
440,15.14,-1.39,0.44
450,15.52,-1.84,0.76
460,15.38,-1.79,1.64
470,14.82,-1.09,1.79
480,13.82,-0.03,1.67
490,13.09,0.64,1.0
500,12.44,1.25,0.27
510,11.87,1.4,-0.05
520,11.65,1.11,-0.02
530,11.62,0.85,-0.05
540,11.63,0.59,-0.17
550,11.53,0.36,-0.22
560,11.36,0.28,-0.23
570,11.03,0.38,-0.33
580,10.69,0.58,-0.35
590,10.45,0.67,-0.32
600,10.34,0.71,-0.49
610,10.31,0.57,-0.45
620,10.4,0.3,-0.28
630,10.43,0.07,-0.25
640,10.43,-0.18,-0.22
650,10.4,-0.23,-0.13
660,10.35,-0.15,-0.21
670,10.22,0.03,-0.38
680,10.1,0.24,-0.51
690,10.03,0.31,-0.56
700,10.01,0.24,-0.53
710,10.07,0.08,-0.5
720,10.09,-0.12,-0.35
730,10.06,-0.21,-0.15
740,10.0,-0.19,-0.13
750,9.94,-0.18,-0.19
760,9.89,-0.04,-0.34
770,9.88,0.09,-0.47
780,9.82,0.21,-0.51
790,9.82,0.21,-0.53
800,9.89,0.14,-0.51
810,9.96,0.05,-0.43
820,10.02,0.0,-0.45
830,10.05,-0.0,-0.44
840,10.02,0.02,-0.47
850,9.96,0.13,-0.6
860,9.9,0.21,-0.68
870,9.9,0.32,-0.7
880,9.98,0.35,-0.67
890,10.07,0.31,-0.6
900,10.17,0.25,-0.51
910,10.35,0.17,-0.45
920,10.46,0.11,-0.52
930,10.48,0.14,-0.66
940,10.35,0.28,-0.86
950,10.25,0.31,-0.86
960,10.18,0.29,-0.81
970,10.16,0.25,-0.8
980,10.24,0.22,-0.82
990,10.36,0.13,-0.73
1000,10.45,0.12,-0.73
